original sort,AssessID,Species,P1_label,Location,Region,depth_ft_colony_base,firstvisit_date,length,width,height,Surface Area (cm²),total_periods_visited,total_periods_diseased,treat_type,total_treatments,Resistance_April2021,Resistance2_April2021,%visits_diseased_total,%visits_diseased_May21-Mar22,%LiveTissueDifference_total,%LiveTissueDifference_Apr21-Mar22,date,time,process_time,disease,coresite_angle,core_location,core_heading,core_depth,Zoox_dominant,Zoox_background
86,N-60,Ofav1,N-60,Sand,Sand,25,6/13/21,211,168,138,37107,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/13/21,12:11,8,A,Angle ,MS,W,24,B,D
87,N-67,Ofav1,N-67,Sand,Sand,26,6/13/21,52,48,49,3297,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/13/21,12:20,7,A,Angle ,US,S,26,B,NA
88,N-70,Ofav1,N-70,Sand,Sand,24,6/13/21,75,48,69,5649,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/13/21,13:34,8,A,Angle ,US,SW,23,B,NA
89,N-72,Ofav1,N-72,Sand,Sand,22,6/13/21,64,62,48,4249,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/13/21,13:50,11,A,Flat,T,SE,21,B,NA
90,N-73,Ofav1,N-73,Sand,Sand,29,6/13/21,88,56,71,6912,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/13/21,12:49,6,A,Angle,US,W,29,B,C
54,617,Ofav1,617,Looe,Looe,30,3/26/19,344,320,302,136463,19,5,Amox,11,2-Some,SCTLD affected,26.30%,50.00%,NA,NA,9/15/21,14:28,5,P,Vertical,MS,SW,18,B,NA
55,663,Ofav1,663,Looe,Looe,28,3/31/19,510,390,260,175571,21,5,Amox,13,2-Some,SCTLD affected,23.80%,33.30%,NA,NA,9/15/21,14:15,5,P,Flat,T,S,23,B,NA
46,675,Ofav1,675,Looe,Looe,15,4/1/19,312,258,220,87910,19,16,Amox,220,1-Low,SCTLD affected,84.20%,83.30%,NA,NA,9/15/21,12:27,4,P,Vertical,MS,W,14,B,NA
47,679,Ofav1,679,Looe,Looe,25,4/1/19,290,252,253,92970,21,18,Amox,136,1-Low,SCTLD affected,85.70%,100.00%,NA,NA,9/15/21,13:01,5,P,Vertical,MS,NE,23,B,CD
48,689,Ofav1,689,Looe,Looe,22,4/1/19,355,280,282,122471,21,21,Amox,1015,1-Low,SCTLD affected,100.00%,100.00%,NA,NA,9/15/21,13:36,6,P,Vertical,MS,SW,18,B,C
49,693,Ofav1,693,Looe,Looe,25,4/2/19,318,280,240,99835,21,16,Amox,77,1-Low,SCTLD affected,76.20%,50.00%,NA,NA,9/15/21,13:48,4,A,Angle,T,NW,19,B,NA
50,695,Ofav1,695,Looe,Looe,26,4/2/19,540,395,348,229891,20,19,Amox,720,1-Low,SCTLD affected,95.00%,83.30%,NA,NA,9/15/21,14:03,4,P,Angle ,MS,SW,24,B,D
56,699,Ofav1,699,Looe,Looe,11,4/2/19,110,95,118,15950,17,4,Amox,9,2-Some,SCTLD affected,23.50%,33.30%,NA,NA,9/15/21,11:55,3,A,Flat,T,NE,11,B,NA
57,713,Ofav1,713,Looe,Looe,15,4/10/19,123,107,145,21774,22,2,Amox,4,2-Some,SCTLD affected,9.10%,0.00%,NA,NA,9/15/21,11:08,3,A,Flat,MS,E,12,B,NA
51,719,Ofav1,719,Looe,Looe,28,4/10/19,238,210,205,62454,22,21,Amox,230,1-Low,SCTLD affected,95.50%,83.30%,NA,NA,9/15/21,14:46,4,P,Angle,T,SE,22,B,CD
52,741,Ofav1,741,Looe,Looe,24,4/11/19,185,155,178,40384,21,20,Amox,242,1-Low,SCTLD affected,95.20%,100.00%,NA,NA,9/15/21,10:12,3,P,Flat,T,S,20,B,NA
53,753,Ofav1,753,Looe,Looe,19,4/11/19,213,170,148,39735,21,20,Amox,113,1-Low,SCTLD affected,95.20%,100.00%,NA,NA,9/15/21,10:45,4,P,Flat,T,W,17,B,NA
58,765,Ofav1,765,Looe,Looe,23,4/17/19,228,125,178,42552,21,2,Amox,13,2-Some,SCTLD affected,9.50%,0.00%,NA,NA,9/15/21,10:02,5,A,Vertical,MS,SW,21,B,CD
77,1004,Ofra,1004,Sand,Sand,28,10/10/19,65,53,78,5988,20,6,Placebo_2b,16,2-Some,SCTLD affected,30.00%,33.30%,NA,NA,9/14/21,13:49,4,A,Vertical,US,SW,29,D,NA
59,1220,Ofav1,1220,Looe,Looe,20,12/7/19,220,150,188,46766,18,7,Amox,24,2-Some,SCTLD affected,38.90%,33.30%,NA,NA,9/15/21,15:08,3,A,Vertical,MS,E,19,B,D
70,1280,Ofav1,1280,Sand,Sand,25,1/2/20,288,115,208,57396,18,11,Amox,113,1-Low,SCTLD affected,61.10%,66.70%,NA,NA,9/14/21,14:25,4,P,Vertical,LS,SW,25,B,NA
71,1332,Ofav1,1332,Sand,Sand,22,2/14/20,100,95,76,10365,16,12,Amox,47,1-Low,SCTLD affected,75.00%,66.70%,NA,NA,9/14/21,14:49,4,A,Vertical,MS,W,21,B,C
78,1340,Ofav1,1340,Sand,Sand,29,2/14/20,163,131,139,27673,17,8,Amox,89,2-Some,SCTLD affected,47.10%,83.30%,NA,NA,9/14/21,14:38,4,P,Vertical,MS,NE,27,B,CD
72,1452,Ofav1,1452,Sand,Sand,23,10/9/19,578,520,392,306596,20,20,SK_Exp_B,1151,1-Low,SCTLD affected,100.00%,100.00%,NA,NA,9/14/21,12:32,7,P,Angle ,US,SW,15,B,NA
79,1455,Ofra,1455,Sand,Sand,25,10/9/19,107,65,78,9186,20,5,SK_Exp_B,36,2-Some,SCTLD affected,25.00%,16.70%,NA,NA,9/14/21,10:45,4,A,Angle ,MS,NW,24,D,NA
73,1463,Ofav1,1463,Sand,Sand,24,10/9/19,505,440,330,223236,20,20,SK_Exp_D,1043,1-Low,SCTLD affected,100.00%,100.00%,NA,NA,9/14/21,11:48,5,P,Angle ,US,SW,17,B,NA
80,1470,Ofra,1470,Sand,Sand,34,10/10/19,52,46,41,2774,18,2,SK_Exp_D,6,2-Some,SCTLD affected,11.10%,0.00%,NA,NA,9/14/21,13:34,4,A,Vertical,LS,S,33,D,NA
11,MC-002,Ofav1,1552,ECA,2Middle,22,7/16/19,180,170,100,26372,41,5,Amox,5,1-Low,SCTLD affected,12.20%,9.10%,-10,0,8/20/21,15:30,3,A,Vertical,LS,S,23,B,NA
10,LC-157,Ofav1,1557,ECA,2Middle,20,7/16/19,295,285,110,55724,41,20,Both,62,1-Low,SCTLD affected,48.80%,45.50%,-40,-20,8/20/21,13:43,3,A,Angle ,MS,N,17,B,NA
34,LC-055,Ofav2,1655,ECA,1North,15,7/15/19,190,190,90,27364,42,1,Amox,1,3-High,SCTLD affected,2.40%,0.00%,0,0,8/19/21,12:41,4,A,Angle ,US,S,16,B,NA
35,LC-056,Ofav2,1656,ECA,1North,17,9/18/19,240,170,95,31259,41,1,Amox,2,3-High,SCTLD affected,2.40%,0.00%,0,0,8/19/21,12:56,3,A,Angle ,US,N,15,B,NA
28,LC-088,Ofav1,1688,ECA,3South,20,7/22/19,230,200,100,34601,42,1,Amox,1,2-Some,SCTLD affected,2.40%,0.00%,-5,0,8/21/21,11:05,3,A,Angle ,B,NE,17,B,D
16,LC-003,Ofav2,1703,ECA,1North,18,6/25/18,310,220,150,59946,55,5,Epox,12,2-Some,SCTLD affected,9.10%,0.00%,0,0,8/19/21,10:18,4,A,Angle ,MS,SW,17,B,NA
23,LC-024,Ofav1,1724,ECA,2Middle,22,9/11/18,300,210,160,59887,54,2,Amox,2,2-Some,SCTLD affected,3.70%,9.10%,-5,0,8/20/21,11:10,4,A,Flat,MS,N,22,B,NA
